21:46:16.242 | 0f 00 00 00 13 5d 1f 43 1b 45 25 6f 21 ee 0f 7e  |  -74 CRC error
21:46:18.315 | 0f 08 00 60 16 6d 12 10 2a 7b 2d 67 11 f6 9f a5  |  -81 CRC error
21:46:20.129 | 0f 0f 00 b4 1f b9 1d 5e 20 ef 2b 95 25 60 27 37  |  -82 CRC error
21:46:20.389 | 0f 10 00 c0 1f 9a 2c 71 21 2c 21 7f 1e f7 24 92  |  -81 CRC error
21:46:20.907 | 0f 12 10 d8 2d d7 22 e9 1c e0 91 66 28 f0 1e 22  |  -82 CRC error
21:46:21.168 | 0f 13 42 e5 2d 5b 21 66 a7 aa a5 65 1d 8d 23 54  |  -76 CRC error
21:46:21.426 | 0f 14 00 f0 26 53 2f 37 0b cc 20 5d 21 a9 22 38  |  -85 CRC error
21:46:24.018 | 8f 1e 01 68 19 d1 29 b7 22 c3 13 a2 18 89 19 3f  |  -87 CRC error
21:46:24.278 | 0f 1f 01 74 13 fa 2e 11 1f 06 1c 62 27 56 25 68  |  -80 CRC error
21:46:24.536 | 0f 20 01 80 24 0e 1d 94 23 52 1a ec 11 6f 21 0b  |  -84 CRC error
21:46:25.054 | 0f 22 01 98 1e 7f 2f 7a 2c 16 2b 3f 1b 4a 20 f0  |  -79 CRC error
21:46:25.572 | 0f 25 11 b2 24 f1 20 2e 9e bc 18 3d 14 b3 23 28  |  -78 CRC error
21:46:26.092 | 0f 26 01 c8 13 42 22 4a 27 f1 0e ec 26 1b 28 d6  |  -82 CRC error
21:46:26.871 | 0f 29 01 ec 13 ae 1f 56 16 d8 19 31 25 dd 24 2a  |  -78 CRC error
21:46:27.128 | 0f 2a 01 f8 23 b0 1d 16 26 f1 22 60 1d e0 24 ad  |  -89 CRC error
21:46:27.388 | 0f 2b 02 05 54 a5 44 55 10 a1 0a 94 10 0a 02 08  |  -80 CRC error
21:46:27.646 | 0f 2c 02 10 19 67 14 cd 23 50 1a 85 20 c1 19 92  |  -89 CRC error
21:46:27.909 | 8f 2d 52 1c a2 1d 19 f5 1b 24 20 aa 1a 6d 28 76  |  -87 CRC error
21:46:28.166 | 8f 2e 0a 28 5e 56 8e 89 24 aa a2 d0 5a d9 1b 0c  |  -88 CRC error
21:46:28.684 | 0f 30 02 40 28 01 2d 49 1e 88 18 08 1c 1c 19 f4  |  -82 CRC error
21:46:29.202 | 0f 32 02 58 20 ed 1f bc 1d 6e 27 8b 20 c9 1e ec  |  -79 CRC error
21:46:29.462 | 0f 33 02 64 1a c7 2a 2a 1f 01 18 65 2a 8a 11 12  |  -79 CRC error
21:46:30.239 | 0f 36 02 89 1f 0a 19 b7 1d 14 a5 3a 1f 91 19 f5  |  -80 CRC error
21:46:30.499 | 8f 37 12 94 26 a9 1b e4 1a a1 1e be 1d 86 1b ed  |  -81 CRC error
21:46:30.759 | 0f 38 02 a0 26 04 20 c4 20 c6 21 5d 24 45 17 b6  |  -81 CRC error
21:46:31.276 | 0f 3a 02 b8 17 22 1b ec 14 6a 1a f6 1f ec 2c 9d  |  -78 CRC error
21:46:31.535 | 0a 52 22 21 41 14 0a 95 48 20 09 10 54 84 51 12  |  -76 CRC error
